,sentiment,Open,High,Low,Close,Volume
2021-09-12,0.5209895824944532,45206.62890625,46364.87890625,44790.4609375,46063.26953125,27881980161
2021-09-13,0.29153460146176935,46057.21484375,46598.6796875,43591.3203125,44963.07421875,40969943253
2021-09-14,0.5188322666618559,44960.05078125,47218.125,44752.33203125,47092.4921875,38652152880
2021-09-15,0.5604239199534956,47098.0,48450.46875,46773.328125,48176.34765625,30484496466
2021-09-16,0.37334439445690937,48158.90625,48486.828125,47079.55859375,47783.359375,31764293754
2021-09-17,0.4712180120329703,47771.00390625,48160.921875,46832.5234375,47267.51953125,28727713711
2021-09-18,0.5981122578893389,47273.52734375,48791.78125,47087.28515625,48278.36328125,28575630451
2021-09-19,0.43439243909190683,48268.85546875,48328.3671875,46919.8046875,47260.21875,26967722648
2021-09-20,0.03820307714783627,47261.40625,47328.19921875,42598.9140625,42843.80078125,43909845642
2021-09-21,0.11766672970318212,43012.234375,43607.609375,39787.609375,40693.67578125,48701090088
2021-09-22,0.2904000624611571,40677.953125,43978.62109375,40625.6328125,43574.5078125,38139709246
2021-09-23,0.4222405358002736,43560.296875,44942.17578125,43109.33984375,44895.09765625,34244064430
2021-09-24,0.1560909144580364,44894.30078125,45080.4921875,40936.55859375,42839.75,42839345714
2021-09-25,0.21049679558852624,42840.890625,42996.2578125,41759.921875,42716.59375,31604717236
2021-09-26,0.3347609016825171,42721.62890625,43919.30078125,40848.4609375,43208.5390625,30661222077
2021-09-27,0.32395338179434047,43234.18359375,44313.24609375,42190.6328125,42235.73046875,30980029059
2021-09-28,0.20741895727209142,42200.8984375,42775.14453125,40931.6640625,41034.54296875,30214940550
2021-09-29,0.4433015203753183,41064.984375,42545.2578125,40829.66796875,41564.36328125,30602359905
2021-09-30,0.46070568820080127,41551.26953125,44092.6015625,41444.58203125,43790.89453125,31141681925
2021-10-01,0.6099813211223354,43816.7421875,48436.01171875,43320.0234375,48116.94140625,42850641582
2021-10-02,0.4948975262434586,48137.46875,48282.0625,47465.49609375,47711.48828125,30614346492
2021-10-03,0.5251640964437414,47680.02734375,49130.69140625,47157.2890625,48199.953125,26638115879
2021-10-04,0.520141272633164,48208.90625,49456.77734375,47045.00390625,49112.90234375,33383173002
2021-10-05,0.5483553969072845,49174.9609375,51839.984375,49072.83984375,51514.8125,35873904236
2021-10-06,0.6299797296524048,51486.6640625,55568.46484375,50488.19140625,55361.44921875,49034730168
2021-10-07,0.5933060853889114,55338.625,55338.625,53525.46875,53805.984375,36807860413
2021-10-08,0.6455534771084785,53802.14453125,55922.98046875,53688.0546875,53967.84765625,34800873924
2021-10-09,0.4420570685811665,53929.78125,55397.9453125,53735.14453125,54968.22265625,32491211414
2021-10-10,0.5635171374107929,54952.8203125,56401.3046875,54264.2578125,54771.578125,39527792364
2021-10-11,0.5526960029350063,54734.125,57793.0390625,54519.765625,57484.7890625,42637331698
2021-10-12,0.45851859511788357,57526.83203125,57627.87890625,54477.97265625,56041.05859375,41083758949
2021-10-13,0.41303102517127993,56038.2578125,57688.66015625,54370.97265625,57401.09765625,41684252783
2021-10-14,0.5281102501471108,57372.83203125,58478.734375,56957.07421875,57321.5234375,36615791366
2021-10-15,0.6419044471449322,57345.90234375,62757.12890625,56868.14453125,61593.94921875,51780081801
2021-10-16,0.5741014658576913,61609.52734375,62274.4765625,60206.12109375,60892.1796875,34250964237
2021-10-17,0.4945921979167245,60887.65234375,61645.5234375,59164.46875,61553.6171875,29032367511
